timestamp,email,name,rating,feedback
2025-11-15 15:34:22,amar@gmail.com,AMAR BORSE ,4,a great insightful experience .
2025-11-15 15:38:57,kd@gmail.com,Kunal Deore,4,nice experience
2025-11-15 16:00:35,amar@gmail.com,AMAR BORSE ,4,expereinced a great comeback with the counseling sesssions.
2025-11-16 16:34:48,st@gmail.com,Student,5,very nice and positive response from psychologist.
2025-11-16 16:40:06,st3@gmail.com,Student3,4,great experience and valuable response
2025-11-16 17:03:06,st@gmail.com,Student1,4,great response
2025-11-17 00:29:54,st3@gmail.com,Student3,0,great experience
2025-11-16 10:03:06,st3@gmail.com,Student3,3,great experience
2025-11-16 10:23:06,st@gmail.com,Student,4,great experience
2025-11-16 13:03:06,st2@gmail.com,Student2,3,great experience
2025-11-16 17:03:06,st3@gmail.com,Student3,5,great experience
2025-11-16 17:03:06,st3@gmail.com,Student3,4,great experience
2025-11-16 17:23:06,st2@gmail.com,Student2,3,great experience
2025-11-16 07:33:06,st4@gmail.com,Student4,2,great experience
2025-11-19 16:41:15,amar@gmail.com,AMAR BORSE ,2,insightful session
2025-11-22 12:02:51,kd2@gmail.com,kunal Deore,7,Insight experience. got great support
2025-11-29 11:36:52,st4@gmail.com,student4,2,insightful experince
